id,Наименование продукции,Тип продукции,Артикул,Описание,Изображение,Количество человек для производства,Номер цеха для производства,Минимальная стоимость для агента,,,ID,Название,Брак
26,Диск R16 Липучка,4,435703,нет,нет,5,2,9934,,,,,
27,Запаска R18 Лето,2,305509,нет,\products\tire_41.jpg,1,3,5192,,,,,
28,Запаска R19 Кованый,2,390434,нет,\products\tire_46.jpg,5,8,14258,,,,,
29,Диск R18 Лето,4,317858,нет,\products\tire_52.jpg,5,3,8435,,,,,
30,Запаска R14 Кованый,2,412235,нет,\products\tire_47.jpg,4,6,12891,,,,,
31,Запаска R22 Липучка,2,328305,нет,\products\tire_13.jpg,2,1,10116,,,,,
32,Колесо R21 Липучка,1,403378,нет,\products\tire_55.jpg,3,10,3626,,,,,
33,Шина R18 Лето,3,425463,нет,нет,4,10,11625,,,,,
34,Запаска R17 Липучка,2,327883,нет,\products\tire_10.jpg,2,2,12332,,,,,
35,Диск R22 Кованый,4,388520,нет,\products\tire_19.jpg,3,2,7498,,,,,
36,Шина R18 Липучка,3,319450,нет,не указано,3,6,4951,,,,,
37,Шина R16 Кованый,3,421321,нет,отсутствует,1,2,14691,,,,,
38,Диск R17 Липучка,4,282569,нет,\products\tire_42.jpg,5,5,12356,,,,,
39,Запаска R23 Зима,2,394768,нет,\products\tire_8.jpg,1,9,13019,,,,,
40,Диск R21 Зима,4,250714,нет,\products\tire_11.jpg,5,5,8762,,,,,
41,Диск R16 Лето,4,251201,нет,не указано,3,10,8149,,,,,
42,Шина R14 Кованый,3,274477,нет,\products\tire_34.jpg,5,5,9527,,,,,
43,Диск R19 Зима,4,358851,нет,\products\tire_16.jpg,5,6,5695,,,,,
44,Диск R21 Лето,4,449834,нет,\products\tire_35.jpg,4,8,2698,,,,,
45,Запаска R19 Липучка,2,438383,нет,нет,3,1,12000,,,,,
46,Колесо R19 Лето,1,298778,нет,\products\tire_38.jpg,1,10,7493,,,,,
47,Колесо R16 Лето,1,337577,нет,\products\tire_2.jpg,1,9,10161,,,,,
48,Запаска R21 Зима,2,365509,нет,нет,5,6,14556,,,,,
49,Шина R20 Липучка,3,348553,нет,нет,2,2,3508,,,,,
50,Диск R20 Лето,4,300047,нет,\products\tire_56.jpg,3,10,10323,,,,,
51,Запаска R18 Липучка,2,279256,нет,\products\tire_53.jpg,4,5,9759,,,,,
52,Шина R22 Лето,3,406784,нет,\products\tire_37.jpg,3,5,14692,,,,,
53,Колесо R21 Лето,1,276905,нет,нет,1,2,10343,,,,,
54,Диск R19 Липучка,4,318661,нет,нет,1,6,5544,,,,,
55,Запаска R14 Зима,2,440993,нет,нет,5,2,6020,,,,,
56,Запаска R22 Кованый,2,341800,нет,не указано,2,4,5447,,,,,
57,Диск R22 Зима,4,453650,нет,\products\tire_22.jpg,5,3,11459,,,,,
58,Запаска R17 Кованый,2,372287,нет,\products\tire_57.jpg,5,3,5808,,,,,
59,Диск R15 Лето,4,347427,нет,нет,1,1,5071,,,,,
60,Шина R15 Кованый,3,274665,нет,\products\tire_63.jpg,2,10,13101,,,,,
61,Запаска R19 Лето,2,283112,нет,\products\tire_33.jpg,3,4,3362,,,,,
62,Колесо R20 Липучка,1,363664,нет,не указано,1,8,12681,,,,,
63,Шина R19 Зима,3,444141,нет,отсутствует,2,8,2741,,,,,
64,Шина R22 Кованый,3,416324,нет,\products\tire_30.jpg,2,8,13841,,,,,
65,Колесо R18 Зима,1,387609,нет,\products\tire_9.jpg,1,4,3445,,,,,
66,Запаска R16 Кованый,2,432234,нет,нет,3,7,13556,,,,,
67,Колесо R17 Зима,1,381949,нет,отсутствует,4,6,5902,,,,,
68,Запаска R16 Зима,2,394413,нет,\products\tire_49.jpg,3,10,12679,,,,,
69,Колесо R20 Лето,1,434626,нет,\products\tire_31.jpg,5,8,11959,,,,,
70,Шина R17 Липучка,3,280863,нет,нет,4,8,11695,,,,,
71,Шина R18 Зима,3,444280,нет,\products\tire_44.jpg,4,6,13168,,,,,
72,Запаска R17 Лето,2,331576,нет,\products\tire_39.jpg,3,8,4803,,,,,
73,Запаска R22 Зима,2,268886,нет,отсутствует,3,2,13471,,,,,
74,Колесо R20 Зима,1,427198,нет,нет,4,10,2397,,,,,
75,Шина R17 Лето,3,354738,нет,\products\tire_20.jpg,2,10,11329,,,,,
76,Шина R14 Лето,3,330951,нет,\products\tire_29.jpg,4,7,6786,,,,,
77,Запаска R20 Зима,2,241577,нет,\products\tire_51.jpg,2,6,9125,,,,,
78,Колесо R17 Липучка,1,281537,нет,не указано,1,2,4365,,,,,
79,Шина R16 Зима,3,300433,нет,отсутствует,4,2,2570,,,,,
80,Запаска R19 Зима,2,254860,нет,отсутствует,2,5,5568,,,,,
81,Диск R22 Лето,4,406411,нет,\products\tire_23.jpg,2,4,2904,,,,,
82,Колесо R19 Липучка,1,440973,нет,\products\tire_5.jpg,4,4,8439,,,,,
83,Шина R21 Липучка,3,308647,нет,\products\tire_26.jpg,4,6,12830,,,,,
84,Шина R17 Зима,3,291319,нет,\products\tire_54.jpg,2,4,6426,,,,,
85,Диск R18 Зима,4,255211,нет,\products\tire_21.jpg,1,6,13239,,,,,
86,Шина R18 Кованый,3,275809,нет,\products\tire_40.jpg,4,10,3258,,,,,
87,Колесо R17 Лето,1,332936,нет,\products\tire_28.jpg,2,1,11145,,,,,
88,Шина R22 Зима,3,382661,нет,не указано,1,2,10373,,,,,
89,Шина R19 Лето,3,335030,нет,не указано,4,10,4870,,,,,
90,Шина R19 Кованый,3,291359,нет,\products\tire_27.jpg,5,10,14682,,,,,
91,Колесо R18 Липучка,1,332858,нет,\products\tire_12.jpg,3,7,14804,,,,,
92,Запаска R15 Липучка,2,237228,нет,\products\tire_18.jpg,3,8,5510,,,,,
93,Шина R15 Зима,3,312952,нет,отсутствует,2,5,4039,,,,,
94,Шина R19 Липучка,3,341034,нет,\products\tire_36.jpg,1,5,13063,,,,,
95,Запаска R15 Зима,2,251241,нет,отсутствует,3,10,3874,,,,,
96,Шина R16 Лето,3,437927,нет,отсутствует,3,6,7181,,,,,
97,Колесо R16 Липучка,1,263261,нет,нет,4,1,14521,,,,,
98,Запаска R21 Лето,2,299112,нет,\products\tire_43.jpg,2,8,3694,,,,,
99,Шина R21 Зима,3,398710,нет,\products\tire_7.jpg,2,2,9378,,,,,
100,Шина R16 Липучка,3,320970,нет,\products\tire_60.jpg,1,2,2264,,,,,
